Site,Collar#,Year-Month,Month,MonthCount,Week,Day,DateGMT-3,TimeGMT-3,Lat_w84,Long_w84,Altitude,X_mov,Y_mov,TTF,Temperature,DateTime.adeformat,Month2,Month3,Time2,Time3,x_adj,y_adj,Active/Inactive
Caetetus,5658,18-06,6,1,1,1,6/25/2018,21:00,-22.3791533,-49.6878767,592,4,0,67,30,06/25/18-21:00,6,6,21,21,0.06,0,active
Caetetus,5658,18-06,6,1,1,1,6/25/2018,23:00,-22.3788767,-49.68774,696,3,7,103,30,06/25/18-23:00,6,6,23,23,0.03,0.07,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,1:00,-22.3839333,-49.6891383,643,5,0,36,25,06/26/18-01:00,6,6,1,1,0.14,0,active
Caetetus,5658,18-06,6,1,1,2,6/26/2018,3:00,-22.3842733,-49.68823,633,4,7,68,29,06/26/18-03:00,6,6,3,3,0.06,0.1,active
Caetetus,5658,18-06,6,1,1,2,6/26/2018,5:00,-22.3846783,-49.6885417,245,0,0,46,31,06/26/18-05:00,6,6,5,5,0,0,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,7:00,-22.3832533,-49.6848783,0,0,0,166,30,06/26/18-07:00,6,6,7,7,0,0,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,9:00,-22.3897083,-49.6944183,657,0,0,91,30,06/26/18-09:00,6,6,9,9,0,0,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,11:00,-22.3889,-49.6947867,618,2,4,30,31,06/26/18-11:00,6,6,11,11,0.07,0.13,active
Caetetus,5658,18-06,6,1,1,2,6/26/2018,13:00,-22.3868083,-49.688035,576,0,0,96,28,06/26/18-13:00,6,6,13,13,0,0,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,15:00,-22.3868233,-49.68164,767,0,0,68,32,06/26/18-15:00,6,6,15,15,0,0,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,19:00,-22.3911417,-49.6849783,635,0,0,65,33,06/26/18-19:00,6,6,19,19,0,0,inactive
Caetetus,5658,18-06,6,1,1,2,6/26/2018,21:00,-22.389995,-49.6847167,661,20,9,102,32,06/26/18-21:00,6,6,21,21,0.2,0.09,active
Caetetus,5658,18-06,6,1,1,3,6/27/2018,1:00,-22.3895967,-49.68507,698,0,0,63,31,06/27/18-01:00,6,6,1,1,0,0,inactive
Caetetus,5658,18-06,6,1,1,3,6/27/2018,3:00,-22.3888783,-49.6846,683,3,3,51,32,06/27/18-03:00,6,6,3,3,0.06,0.06,active
Caetetus,5658,18-06,6,1,1,3,6/27/2018,5:00,-22.3884,-49.6841517,246,0,0,30,34,06/27/18-05:00,6,6,5,5,0,0,inactive
Caetetus,5658,18-06,6,1,1,3,6/27/2018,7:00,-22.38813,-49.683945,662,0,0,91,33,06/27/18-07:00,6,6,7,7,0,0,inactive
Caetetus,5658,18-06,6,1,1,3,6/27/2018,9:00,-22.3930717,-49.6844133,536,9,7,61,29,06/27/18-09:00,6,6,9,9,0.15,0.11,active
